89,882,9.327
97,885,9.344
108,888,9.36
121,892,9.377
137,897,9.394
154,902,9.41
173,908,9.427
195,914,9.444
218,920,9.46
244,927,9.477
271,934,9.493
300,941,9.51
331,948,9.527
364,955,9.543
398,962,9.56
434,969,9.577
472,976,9.593
511,982,9.61
551,988,9.627
592,993,9.643
635,997,9.66
679,1002,9.677
722,1005,9.693
767,1007,9.71
813,1010,9.727
859,1011,9.743
905,1012,9.76
951,1012,9.777
998,1011,9.793
1044,1009,9.81
1089,1007,9.827
1135,1003,9.843
1180,998,9.86
1223,994,9.877
1267,989,9.893
1310,982,9.91
1351,976,9.927
1390,969,9.943
1429,962,9.96
1467,954,9.976
1502,946,9.993
1536,938,10.01
1568,930,10.026
1598,923,10.043
1626,915,10.06
1653,908,10.076
1677,901,10.093
1699,894,10.11
1719,888,10.126
1737,883,10.143
1752,878,10.16
1765,874,10.176
1776,871,10.193
1784,867,10.21
1790,865,10.226
1793,864,10.243
1795,864,10.26
1794,864,10.276
1791,866,10.293
1785,869,10.31
1777,872,10.326
1766,876,10.343
1753,879,10.36
1738,885,10.376
1721,890,10.393
1701,896,10.41
1680,903,10.426
1656,910,10.443
1630,917,10.459
1602,925,10.476
1572,933,10.493
1540,941,10.509
1506,949,10.526
1472,957,10.543
1434,965,10.559
1396,972,10.576
1357,979,10.593
1315,986,10.609
1273,992,10.626
1230,997,10.643
1186,1002,10.659
1140,1007,10.676
1095,1011,10.693
1049,1013,10.709
1003,1014,10.726
956,1015,10.743
909,1015,10.759
863,1015,10.776
816,1014,10.793
770,1013,10.809
724,1010,10.826
680,1007,10.843
636,1003,10.859
593,997,10.876
551,993,10.893
510,987,10.909
471,981,10.926
433,973,10.943
397,966,10.959
362,959,10.976
329,952,10.992
298,945,11.009
269,938,11.026
242,931,11.042
216,924,11.059
194,917,11.076
172,911,11.092
153,905,11.109
137,900,11.126
122,895,11.142
110,891,11.159
100,886,11.176
92,884,11.192
86,883,11.209
83,880,11.226
82,880,11.242
83,880,11.259
86,881,11.276
92,884,11.292
100,885,11.309
110,889,11.326
122,892,11.342
136,897,11.359
153,902,11.376
171,907,11.392
192,913,11.409
215,920,11.426
239,926,11.442
266,933,11.459
294,940,11.475
325,947,11.492
357,954,11.509
390,961,11.525
425,967,11.542
462,974,11.559
500,980,11.575
540,986,11.592
580,991,11.609
622,996,11.625
665,1000,11.642
709,1004,11.659
753,1007,11.675
798,1009,11.692
844,1011,11.709
889,1012,11.725
935,1012,11.742
981,1010,11.759
1027,1010,11.775
1073,1007,11.792
1118,1004,11.809
1163,1001,11.825
1207,996,11.842
1251,990,11.859
1293,986,11.875
